Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[Admin] Categories,64357,60665,2500.0,11530.2890794551,3.965963958762586,973429.2085999623,12.04717435554796,2.6427754421703957,2.4911660301018856,2500,4600,7100,8500,17000,31000,53000,62000,963000,971000,973000
POST,[Admin] FetchList,64033,60474,2500.0,12404.992778853222,3.8574410136789083,976211.2256040564,7.392235253697312,2.6294706075251635,2.4833227479499125,2500,4800,7200,8600,17000,32000,54000,64000,964000,972000,976000
POST,[Admin] Products,85630,80788,2400.0,11778.199353837485,3.7269199965521693,976253.3097099513,7.667020903888824,3.5163363909605945,3.3175030287624026,2400,4600,7100,8400,17000,31000,53000,61000,963000,971000,976000
POST,[Browser] Categories,753988,712178,830.0,8314.104032270498,2.2309799678623676,976119.5886119967,11.700037666381958,30.961992791633737,29.245094222136334,830,3300,5400,6500,11000,23000,47000,57000,962000,971000,976000
POST,[Browser] Products,1766788,1667853,850.0,8452.466912808499,1.5405199956148863,976463.5733460309,7.509950826018741,72.55192034932251,68.48922338751373,850,3300,5500,6500,11000,23000,48000,57000,963000,971000,976000
POST,[Buyer] Products,579870,548961,2600.0,12609.45581857828,2.3979879915714264,976196.8086390989,7.124281304430303,23.811958227564173,22.542701640991694,2600,5600,7100,8300,19000,31000,53000,63000,963000,971000,976000
POST,[Searcher] Browse,169762,160441,1200.0,6383.128774847558,1.6911750426515937,975128.4324630396,7.302535314145686,6.97115845383922,6.588398071962032,1200,2800,4800,5900,8700,19000,37000,55000,962000,971000,975000
POST,[Searcher] Search,1018815,962244,1200.0,6414.723717148986,1.7424299148842692,976469.9256520253,7.433752938462822,41.83692934901925,39.51388058137903,1200,2800,4800,5900,8800,19000,37000,55000,962000,971000,976000
POST,[Searcher] Search+Sort,510345,482110,1100.0,6474.4145283760745,1.9900319166481495,976473.7902350025,7.385790004800674,20.95696245994143,19.79751182349658,1100,2800,4800,5900,8800,19000,37000,55000,962000,970000,976000
,Aggregated,5013588,4735714,1200.0,8373.736012923398,1.5405199956148863,976473.7902350025,8.119762333881443,205.87950407197647,194.4688015342936,1200,3500,5500,6500,11000,23000,47000,57000,962000,971000,976000

